country,infections
United States,93486.60586
Brazil,71586.8609
India,39775.61832
Italy,19199.14901
Turkey,18829.79806
Germany,15701.6637
France,14518.77495
Poland,13550.422980000001
Russia,11973.20369
Ukraine,9870.229034
Spain,9781.531934
Iran,9218.002617
Argentina,9176.028537999999
Colombia,8625.950608
Mexico,6428.512931
Netherlands,6377.847334
Portugal,5852.486083
Hungary,5118.001840999999
Romania,4918.350475
Peru,4584.668225
Japan,4561.518232
Belgium,4244.268156
Serbia,3537.0947060000003
Philippines,3443.549028
Sweden,3288.440654
Israel,3238.537589
Uruguay,3025.193885
Lebanon,2892.168285
Austria,2886.5428829999996
South Africa,2744.693462
Switzerland,2534.533409
Georgia,2141.203099
Bulgaria,2118.380883
Chile,2046.403995
Paraguay,2031.268045
Slovakia,1948.643009
Nepal,1865.5326899999998
Greece,1675.516574
Pakistan,1627.576865
Lithuania,1565.816364
Denmark,1518.887492
Croatia,1332.248167
Ethiopia,1246.5823369999998
Slovenia,1226.911708
Morocco,1190.148401
Bosnia and Herzegovina,1139.1880939999999
Estonia,1086.710939
Ireland,1020.4299880000001
Kazakhstan,1007.05122
Moldova,1002.0084449999999
