country,infections
Madagascar,93.45874993
Thailand,76.95966698
Mongolia,64.31188015
Andorra,53.88472347
Australia,41.61248882
Hong Kong,36.62984935
Iceland,31.81194048
Trinidad and Tobago,30.50254391
San Marino,25.1789913
China,22.77677959
Liechtenstein,17.82689149
Monaco,12.02341618
New Zealand,3.646922755
Tajikistan,0.684922123
Dominica,0.532623295
Fiji,0.155106128
