country,infections
Kyrgyzstan,930
Canada,912
Senegal,884
Uzbekistan,879
Denmark,857
Switzerland,827
Venezuela,809
Finland,765
Peru,722
Cyprus,655
Sweden,619
Azerbaijan,615
Norway,586
Paraguay,537
Austria,503
Ethiopia,476
Lithuania,410
Serbia,292
Armenia,233
Trinidad and Tobago,233
Bulgaria,231
Estonia,220
Uruguay,211
Croatia,188
Moldova,184
Australia,183
Jamaica,182
Romania,170
Poland,165
Montenegro,146
Iceland,131
Togo,129
