country,infections
United States,78170
Brazil,42283
Iran,34433
South Africa,30928
Spain,26689
France,25429
Russia,22720
Turkey,22161
Mexico,19223
Thailand,17669
Argentina,14115
Japan,10684
Colombia,9690
Morocco,8995
Kazakhstan,7778
Italy,6167
Philippines,5620
Netherlands,4543
Pakistan,4537
Guatemala,3336
Georgia,2796
Greece,2694
Nepal,2335
Zimbabwe,2089
Belgium,1862
Israel,1823
South Korea,1707
Costa Rica,1695
Honduras,1592
Algeria,1537
Ukraine,1396
Chile,1371
Ireland,1361
Fiji,1301
Lebanon,1104
Kenya,1068
Belarus,1033
Bolivia,1029
